"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Max",1.61044958786048e-13,0.907202293315116,0.279,0.123,4.0468987693346e-09
"Tmem14c",1.64047404901691e-13,0.47288290190506,0.616,0.355,4.12234723777458e-09
"Seh1l",1.71019386209025e-13,1.12532784352232,0.18,0.06,4.29754615604659e-09
"Stat3",1.7143267546685e-13,0.54581547612331,0.49,0.26,4.30793170180648e-09
"Arhgef10l",1.78108279443425e-13,1.34975164489705,0.163,0.05,4.47568295413382e-09
"Pgap2",1.79073816783888e-13,0.770241490498156,0.264,0.11,4.49994594196233e-09
"Uba7",1.86097424375521e-13,1.1848169973054,0.196,0.07,4.67644217713247e-09
"Psmb6",1.98803444083594e-13,0.518929093949354,0.594,0.347,4.99573174637664e-09
"Necap2",1.99420964798169e-13,0.669609493617203,0.431,0.226,5.01124942441319e-09
"Fbxo6",2.04975488274416e-13,1.01780210932856,0.205,0.075,5.15082904484779e-09
"Erap1",2.07919152572134e-13,1.19598011478064,0.167,0.052,5.22480038498517e-09
"Rps17",2.16240274544584e-13,-0.357182202708743,0.928,0.964,5.43390185903085e-09
"Prdx5",2.20128656915128e-13,0.718562826323036,0.859,0.722,5.53161301962026e-09
"Szrd1",2.40946298632007e-13,0.729966683140278,0.283,0.122,6.0547395383237e-09
"Lmo4",2.58274416322117e-13,0.703685633119301,0.343,0.165,6.49017780775847e-09
"Med15",2.63063993550998e-13,0.976109372391271,0.23,0.089,6.61053509394303e-09
"Rps11",2.67375305770723e-13,-0.290812407574236,0.988,1,6.7188740587125e-09
"Plekha2",2.76301438846807e-13,0.828252972219942,0.226,0.086,6.9431788567814e-09
"Ehbp1l1",2.92852174827849e-13,0.648810424213335,0.295,0.128,7.35908230124901e-09
"Fcf1",3.05297299061106e-13,0.813628050292696,0.253,0.105,7.67181582810654e-09
"Myof",3.12881023507666e-13,0.791902043951185,0.291,0.13,7.86238723972414e-09
"Tuba1c",3.15559929449677e-13,0.697574122389593,0.36,0.175,7.92970546714095e-09
"Bhlhe40",3.17636961801383e-13,1.2410801269988,0.184,0.066,7.98189921310696e-09
"Gm10076",3.34798418181957e-13,-0.566180500274689,0.702,0.688,8.41314945049439e-09
"Vav3",3.59161220652504e-13,1.06350550833311,0.201,0.073,9.02536231377677e-09
"Bach1",3.94496916305338e-13,0.786700293137229,0.453,0.254,9.91331300983684e-09
"Rbm39",4.01901087435082e-13,-0.488684531197294,0.828,0.805,1.00993724261562e-08
"Rnf4",4.08408575141356e-13,0.841752470112876,0.238,0.095,1.02628990847271e-08
"Aph1a",4.11413454820515e-13,0.586192196879681,0.315,0.14,1.03384087061847e-08
"Relb",4.4555971053938e-13,0.80620875088187,0.247,0.1,1.11964699661441e-08
"Myo1f",4.59225430495708e-13,0.514464489201091,0.35,0.165,1.15398758429266e-08
"Gnb1",4.71935968590142e-13,-0.952748117142932,0.64,0.693,1.18592789547017e-08
"Larp1",4.85000379483065e-13,0.657193622213629,0.345,0.165,1.21875745360299e-08
"Plec",5.00621436845608e-13,1.18365495343134,0.167,0.055,1.25801160864933e-08
"Antxr2",5.3744260982705e-13,0.974070101152881,0.164,0.052,1.35053953423439e-08
"Stx4a",5.54254675989432e-13,0.720290354740128,0.332,0.158,1.39278657529384e-08
"Il13ra1",5.54360248679459e-13,0.901499681640296,0.243,0.101,1.39305186890661e-08
"Ifi207",5.61013776134923e-13,0.616658803130636,0.7,0.515,1.40977151804945e-08
"H2-M3",5.66910353150432e-13,0.59890209239278,0.358,0.174,1.42458902643172e-08
"Clec4e",6.53113380375397e-13,1.68428426782456,0.174,0.062,1.64120861354534e-08
"Rest",6.82111222639319e-13,0.845670029008603,0.257,0.11,1.71407729137035e-08
"Mrpl30",6.85946607495692e-13,0.534801872040919,0.433,0.22,1.72371522997592e-08
"Itgal",7.2804541532048e-13,0.851639474343956,0.215,0.085,1.82950532415884e-08
"Lyn",7.43718230860513e-13,0.515418782744216,0.678,0.458,1.86888954232938e-08
"Zcchc24",7.6025884131606e-13,1.17982575617103,0.15,0.045,1.91045444234313e-08
"Gns",8.10550430650814e-13,0.504590973314828,0.544,0.317,2.03683217718243e-08
"Myl12a",8.29747299602376e-13,0.431141287626833,0.662,0.396,2.08507198917081e-08
"Arid5a",8.59609939220218e-13,0.69997283831192,0.342,0.168,2.16011381626649e-08
"Fcgr2b",8.62620947773578e-13,0.622294205332284,0.675,0.477,2.16768017966022e-08
"Rin2",8.66653263241987e-13,0.910636892581657,0.337,0.168,2.17781298520079e-08
"Lrp10",9.12664645095859e-13,0.680378087862293,0.308,0.14,2.29343498666138e-08
"Pgs1",9.42910909582989e-13,0.936698592739421,0.218,0.086,2.36944082469109e-08
"Snap29",9.42990444700411e-13,1.06092515669548,0.195,0.071,2.36964068848766e-08
"Rps23",9.47194376106796e-13,-0.269095289861142,0.997,1,2.38020474771877e-08
"Chga",1.02565741985224e-12,-2.3260284425077,0.114,0.243,2.57737453034669e-08
"Tmem140",1.03056782573879e-12,0.992007845236851,0.181,0.064,2.58971388929902e-08
"Atp5j",1.04889505861537e-12,-0.455817800123854,0.756,0.767,2.63576839279457e-08
"Crem",1.05813867949503e-12,0.914290775569544,0.23,0.093,2.65899668770307e-08
"Ldhb",1.16739639091543e-12,-1.50676079999401,0.149,0.277,2.93355039073138e-08
"Zfp36",1.1936311933848e-12,-0.39460145829337,0.864,0.865,2.99947582585667e-08
"S100a4",1.22281978050673e-12,0.627720291132662,0.332,0.172,3.07282382643536e-08
"Slc29a3",1.24631971673801e-12,0.690649215183423,0.474,0.274,3.13187681619094e-08
"Trim30d",1.27471196054853e-12,0.86596755152946,0.281,0.129,3.2032236856624e-08
"Mafb",1.28709114609766e-12,0.645446449587161,0.705,0.574,3.23433134102882e-08
"Actr3",1.30518377333364e-12,0.359096020916827,0.877,0.695,3.2797963040101e-08
"Anxa11",1.35239178639191e-12,1.11942834559945,0.163,0.054,3.39842532002424e-08
"Rpl27",1.36184820647524e-12,-0.279583688931298,0.982,0.99,3.42218835805164e-08
"Csf2ra",1.4011853903162e-12,0.510244386000912,0.537,0.307,3.52103876732559e-08
"Vrk3",1.4099120444655e-12,1.17112460222323,0.167,0.056,3.54296797653735e-08
"Nrbp1",1.48811953044645e-12,0.722302933987276,0.274,0.121,3.73949556805889e-08
"Nubp1",1.49763681609797e-12,0.780271090125766,0.257,0.11,3.7634115551726e-08
"H2-DMa",1.52179409613993e-12,0.567682057029478,0.624,0.432,3.82411638419004e-08
"Arf3",1.67278449318249e-12,0.553038225460206,0.379,0.187,4.20354015291829e-08
"Nfkbib",1.74905622499208e-12,0.897023724626808,0.223,0.089,4.3952033877826e-08
"Arf5",1.80625833220403e-12,0.441437808654977,0.769,0.483,4.5389465629955e-08
"Alas1",1.81219619848453e-12,0.78079815795879,0.236,0.099,4.55386782717178e-08
"Sdad1",1.81680157823243e-12,1.14052749968084,0.163,0.054,4.56544068594028e-08
"Arpc5",1.83487132687381e-12,0.428763221612797,0.817,0.57,4.61084815730119e-08
"Adap1",1.88822303461819e-12,1.07377187997113,0.187,0.067,4.74491566369205e-08
"Psmb4",1.95395809783988e-12,0.501030495818615,0.619,0.369,4.91010130406183e-08
"Rbm8a",2.03428346481553e-12,0.365691382709968,0.484,0.252,5.11195091873494e-08
"Uqcrh",2.04797869372026e-12,-0.352209078191379,0.849,0.874,5.14636565944964e-08
"Dr1",2.11061848187646e-12,0.914602859401422,0.205,0.079,5.30377318310735e-08
"BC005537",2.11233097658783e-12,0.529836731298719,0.559,0.323,5.30807651106756e-08
"Dock2",2.11725691039297e-12,0.509472186667792,0.457,0.243,5.32045489012649e-08
"Mkrn1",2.11988683099571e-12,0.60708542255935,0.444,0.24,5.32706361760913e-08
"Isy1",2.22310143416113e-12,0.99114394196801,0.238,0.102,5.5864315939035e-08
"Atf5",2.35997473063169e-12,-2.49726483802728,0.121,0.251,5.93038050060437e-08
"Ubc",2.39517852050442e-12,-0.396989641960011,0.974,0.961,6.01884410417556e-08
"Csnk2b",2.49274109698667e-12,0.456813958846862,0.405,0.207,6.26400910261781e-08
"Rpl7",2.59044011689775e-12,-0.287266312806008,0.987,0.991,6.50951696975235e-08
"Gm2a",2.62111967947728e-12,0.433830265510813,0.591,0.368,6.58661164255847e-08
"Nosip",2.79386881702901e-12,1.12737779764508,0.168,0.058,7.0207129503122e-08
"Lbh",2.90265780451233e-12,0.84184074140219,0.281,0.13,7.29408879695903e-08
"Rars",2.92922982549277e-12,0.887306697093157,0.228,0.093,7.36086162848079e-08
"Zeb2os",3.02310197863172e-12,0.716538933224586,0.326,0.157,7.59675296210365e-08
"Atp8a1",3.07834910176737e-12,0.694422168642123,0.294,0.133,7.73558345783121e-08
"Naca",3.13871809438833e-12,-0.351924247394303,0.911,0.946,7.88728469938844e-08
"9930111J21Rik2",3.20571341460558e-12,0.430966127678677,0.482,0.261,8.05563723956237e-08
"Ncf2",3.30081223911799e-12,0.4790547783843,0.581,0.349,8.29461107567959e-08
"Rab32",3.32855504046213e-12,0.892070475523643,0.244,0.105,8.36432596117729e-08
"Arhgef1",3.45774454225824e-12,0.699646193254863,0.257,0.111,8.68896626024074e-08
"Arap1",3.60071646837697e-12,0.839900401341712,0.298,0.142,9.04824041338448e-08
"Elovl1",3.73327725217082e-12,0.855495074068619,0.221,0.088,9.38135240698006e-08
"Tlr13",3.76764367693796e-12,0.838455242247106,0.258,0.113,9.4677117957774e-08
"Rasa4",3.85385193728131e-12,0.825334592443442,0.274,0.123,9.68434453319419e-08
"Rpl41",3.91411052555133e-12,-0.225924544229918,0.995,0.999,9.83576833965794e-08
"Aprt",3.94952917130499e-12,0.47894496771862,0.482,0.273,9.92477185457232e-08
"Kif5b",4.33987947335477e-12,-0.600505846345066,0.602,0.644,1.09056831285932e-07
"Rin3",4.35522324207379e-12,0.96162567552997,0.167,0.058,1.09442404850072e-07
"Ptpn6",4.36209806338325e-12,0.504651125336058,0.611,0.399,1.09615162234758e-07
"Aff1",4.38786397299371e-12,1.09362930408851,0.205,0.082,1.10262633777359e-07
"Rbms1",4.47099681123694e-12,0.530523668416159,0.512,0.289,1.12351678869573e-07
"Nsd2",4.62934902884817e-12,1.2156906130581,0.176,0.064,1.16330911745926e-07
"Syk",5.04852629944272e-12,0.621925138255096,0.385,0.197,1.26864417378696e-07
"Psmc1",5.16635410725815e-12,0.693138196885411,0.316,0.152,1.2982531236129e-07
"Fstl5",5.274142102555e-12,-2.16117133277732,0.127,0.254,1.32533916895105e-07
"Dazap2",5.33496179251788e-12,0.537283721958253,0.655,0.402,1.34062254884182e-07
"2310011J03Rik",5.37001723380538e-12,0.899628423895006,0.217,0.088,1.34943163068295e-07
"Ypel3",5.79510580015919e-12,-0.887697150013316,0.399,0.483,1.456252136522e-07
"Cggbp1",6.08032802842666e-12,0.440613695417931,0.531,0.294,1.52792563026334e-07
"Npm1",6.12688677381433e-12,-0.402015972051543,0.828,0.827,1.5396253773918e-07
"Gm26917",6.20363902337162e-12,0.745132512073942,0.292,0.137,1.55891245018305e-07
"Nipa2",6.35624945536452e-12,0.624460759082614,0.431,0.234,1.59726192563855e-07
"Pi4k2a",6.40763728559669e-12,0.818101704206592,0.222,0.09,1.61017517349759e-07
"Gpsm3",6.6688913295929e-12,0.504240071397366,0.475,0.262,1.6758257022134e-07
"Mdm2",6.87733477063759e-12,0.903173740856275,0.228,0.097,1.72820545451352e-07
"Prkx",7.01162728316524e-12,1.04793794403922,0.238,0.105,1.76195181998659e-07
"Nubp2",7.41532856240307e-12,1.03492296394604,0.171,0.06,1.86339791444627e-07
"Dek",7.68036459718331e-12,0.541577648718332,0.574,0.344,1.92999881962619e-07
"Hmgb1",7.96915861817399e-12,-0.321561492694042,0.843,0.855,2.00256986916094e-07
"Tgfb1",8.03540273732889e-12,0.525703881894545,0.61,0.378,2.01921635386338e-07
"Wipf1",8.07071082951915e-12,0.491183011077924,0.35,0.171,2.02808892434987e-07
"Ak2",8.08671622930166e-12,0.618470142914513,0.356,0.182,2.03211092126121e-07
"Nsf",8.34646744890473e-12,0.683121594685364,0.231,0.098,2.09738380523527e-07
"Akap13",8.38176996267306e-12,0.432344615272063,0.606,0.365,2.10625497392011e-07
"Pik3cd",8.6707722217149e-12,0.708235190667459,0.256,0.111,2.17887835159474e-07
"Rela",8.90095141278119e-12,0.65944794796946,0.255,0.111,2.23672008051778e-07
"Cxcl2",1.01552550354643e-11,-0.568638711362699,0.283,0.427,2.55191403786181e-07
"Ccl3",1.03036599868478e-11,-0.4153959016335,0.448,0.594,2.58920671809497e-07
"Cytip",1.11521116968208e-11,0.370138234280197,0.394,0.211,2.8024141482941e-07
"Gpr34",1.17547879584211e-11,-0.85066006267304,0.235,0.37,2.95386066607164e-07
"Hk2",1.20139159432085e-11,0.691918653865466,0.325,0.163,3.01897693736887e-07
"Slc31a1",1.22820665406172e-11,0.788735895033597,0.21,0.086,3.08636050099171e-07
"Kdm7a",1.23213797229323e-11,0.551665795235136,0.401,0.212,3.09623951057567e-07
"Arl5a",1.24404431130435e-11,1.03806273098804,0.191,0.073,3.1261589498767e-07
"Snrpb2",1.34161906152047e-11,0.604023548472539,0.343,0.171,3.3713545396948e-07
"Eef1b2",1.38404027950454e-11,-0.347955859191753,0.885,0.897,3.47795481836696e-07
"Irf2",1.4125256617832e-11,0.48682966685393,0.58,0.349,3.54953573549499e-07
"Sh3bp2",1.45078190542828e-11,1.05867585689417,0.174,0.063,3.64566985015073e-07
"Rps16",1.49442026221743e-11,-0.247260263972903,0.999,0.996,3.75532867692617e-07
"Prdm1",1.50282282836112e-11,0.871356771693484,0.201,0.081,3.77644348538866e-07
"Rhoh",1.58873767867838e-11,0.474127293240569,0.294,0.139,3.99233891275091e-07
"Cnp",1.5959140140203e-11,0.993301590251138,0.215,0.088,4.0103723258316e-07
"Tox4",1.65721950294228e-11,0.619221442602596,0.316,0.152,4.16442688894367e-07
"Nub1",1.67196242813352e-11,0.603674288387124,0.266,0.121,4.20147438565673e-07
"Rap2b",1.68455563506621e-11,0.532581623892864,0.375,0.195,4.23311985535788e-07
"Lrrfip1",1.7247043676554e-11,0.45843933842629,0.431,0.23,4.33400960548126e-07
"Grb2",1.76562958623936e-11,0.435826328658835,0.689,0.447,4.43685058726088e-07
"Slc9a3r1",1.78118718181077e-11,0.679346275099854,0.304,0.147,4.4759452691723e-07
"Slc12a9",1.90338705250462e-11,1.01251570592861,0.178,0.066,4.78302132423886e-07
"Fam49a",1.9101548383301e-11,0.85327656692807,0.228,0.099,4.80002809323972e-07
"Lnpep",1.95553088442448e-11,0.560281310593322,0.436,0.236,4.91405355947027e-07
"Apoc2",1.98283868965717e-11,0.835812768016173,0.261,0.124,4.98267534323951e-07
"Plxnd1",2.06180935311813e-11,1.27565979908808,0.172,0.065,5.18112072345055e-07
"Twf2",2.06509971174539e-11,0.560818068710672,0.402,0.211,5.18938906564498e-07
"Selenok",2.10864338604593e-11,-0.519223434323928,0.795,0.743,5.29880996479483e-07
"Mitd1",2.16772518448441e-11,0.961881839471974,0.162,0.058,5.44727661609087e-07
"Ctsz",2.21743906960761e-11,0.475389972126349,0.82,0.736,5.57220263801697e-07
"Rab20",2.24442689302208e-11,0.713544108535888,0.372,0.204,5.64002033947518e-07
"Pla2g4a",2.36414096193112e-11,0.810237073114593,0.235,0.103,5.94084982323671e-07
"Snx18",2.42560771288196e-11,0.610178662161158,0.415,0.229,6.09530962170109e-07
"Nsmce1",2.45258049572002e-11,0.661364551536078,0.239,0.104,6.16308952769483e-07
"Ywhag",2.45753934008946e-11,0.525600869293736,0.351,0.172,6.1755506077108e-07
"Rrbp1",2.57940995715254e-11,0.435242585766255,0.845,0.728,6.48179928132862e-07
"Atp6v0a2",2.64089981212232e-11,0.750952303156601,0.18,0.067,6.63631713788218e-07
"Ap2b1",2.64948670224509e-11,0.669421442618803,0.264,0.12,6.6578951340717e-07
"Nras",2.72125379051153e-11,0.640230330128203,0.325,0.162,6.83823865017643e-07
"Lbr",2.77670528074476e-11,0.833747701918102,0.2,0.081,6.97758269998352e-07
"Ube2q1",2.78120502928513e-11,0.386448006608147,0.415,0.211,6.98889011809061e-07
"Slc31a2",2.87975093717223e-11,0.776303576787935,0.234,0.102,7.2365261300201e-07
"Coro1c",2.92128655765182e-11,0.800552198300846,0.247,0.11,7.34090099072325e-07
"Ucp2",2.96960983830592e-11,0.332160221954293,0.83,0.637,7.46233256267895e-07
"Rpl10a",3.20507823113392e-11,-0.306902036766368,0.936,0.978,8.05404108701642e-07
"Eif3j1",3.2441769428629e-11,0.582752259436227,0.283,0.132,8.15229223972018e-07
"Dhx38",3.26329163852082e-11,0.951992089791788,0.185,0.071,8.20032555843896e-07
"Ndfip1",3.27813144908342e-11,-0.832373882456213,0.529,0.553,8.23761651840174e-07
"Creld2",3.44072665128054e-11,1.5708986696399,0.151,0.054,8.64620200200287e-07
"Ppp1r9b",3.53225701317596e-11,0.698087710860812,0.275,0.128,8.87620864840986e-07
"Cdc34",3.61985281684232e-11,0.851698617280608,0.204,0.083,9.09632814344307e-07
"Slc38a1",3.63533118111277e-11,0.559386370322149,0.274,0.129,9.13522372501827e-07
"Psma5",3.73008337013483e-11,0.518807159397488,0.55,0.331,9.37332650081182e-07
"Cdv3",4.03517632510642e-11,0.565263356347263,0.373,0.192,1.01399945873599e-06
"Tent5c",4.15572229970341e-11,0.722608156020702,0.368,0.206,1.04429145669247e-06
"Ap2s1",4.21111835695028e-11,0.484441380352697,0.591,0.352,1.05821193191804e-06
"Map7d1",4.61998308259252e-11,0.573915430422795,0.338,0.171,1.16095554882468e-06
"Ptgs2",4.63486956157948e-11,0.717610559889487,0.291,0.149,1.16469637212931e-06
"Eid1",4.8715821036828e-11,-0.825061600815301,0.416,0.486,1.22417986683445e-06
"Rpl12",4.87951424501015e-11,-0.275848435999416,0.956,0.981,1.2261731346286e-06
"Ltbr",4.91630393608301e-11,0.824307863116423,0.183,0.07,1.2354180160983e-06
"Sema4a",4.97162553473613e-11,0.862695580149601,0.23,0.101,1.24931978062384e-06
"Rtf2",5.0820358254819e-11,0.463161613908987,0.428,0.231,1.27706478258535e-06
"Fnbp4",5.20751963141714e-11,0.899863727846739,0.189,0.076,1.30859760817881e-06
"Dnajc2",5.35463823552462e-11,0.602688947046385,0.343,0.175,1.34556704220498e-06
"Tes",5.38082501449905e-11,1.27133263474723,0.157,0.057,1.35214751789347e-06
"Tle3",5.45407456394369e-11,1.44392350564816,0.176,0.07,1.37055439717341e-06
"Xrn2",5.5843396048103e-11,0.433402488943368,0.495,0.276,1.40328869929278e-06
"Etnk1",6.11044242664979e-11,0.780017642564975,0.295,0.149,1.53549307739283e-06
"Ikbkb",6.29921002691003e-11,0.395347483845101,0.369,0.19,1.58292848766222e-06
"Clic1",6.39751979755793e-11,0.308644673842778,0.898,0.762,1.60763274992833e-06
"Cdk2ap2",6.46047323326456e-11,0.276386412131468,0.488,0.281,1.62345231878705e-06
"Napa",6.49312935432278e-11,0.450885327536837,0.275,0.127,1.63165847544777e-06
"Cln3",6.6229870627637e-11,0.73564593514362,0.198,0.08,1.66429041900189e-06
"Cd63",6.74167501860788e-11,-0.563598579979542,0.578,0.671,1.69411551542597e-06
"Supt5",6.7823044432751e-11,0.609159803174788,0.3,0.146,1.7043252835506e-06
"Fem1c",7.30027424881001e-11,0.716245751173071,0.248,0.112,1.83448591598347e-06
"Renbp",7.43347224202735e-11,0.829734986593832,0.248,0.113,1.86795723969905e-06
"Rpl7a",7.4882496424828e-11,-0.269258119379069,0.957,0.964,1.8817222526595e-06
"Cox7a2l",7.72262519757709e-11,-0.579373257709397,0.667,0.665,1.94061848589915e-06
"Acadl",8.20569041809026e-11,0.640573821227308,0.27,0.127,2.0620079451619e-06
"Mrps18c",8.22243432480283e-11,0.415870721993456,0.358,0.183,2.0662155214797e-06
"Rnf10",8.45564671153966e-11,0.528797531329028,0.274,0.128,2.1248194621428e-06
"Cox8a",8.545025240538e-11,-0.332418104962798,0.956,0.974,2.14727939269479e-06
"Dbnl",8.63190858167226e-11,0.590819408611944,0.347,0.179,2.16911230748842e-06
"Trim12a",8.6582641794889e-11,0.527232918559589,0.264,0.123,2.17573520566377e-06
"Calm1",8.69395395447679e-11,-0.469207233676029,0.982,0.981,2.18470368922047e-06
"Ptms",9.02802944744857e-11,0.461428337057437,0.787,0.605,2.26865351984935e-06
"Nfkb1",9.27123684245715e-11,0.538788404054617,0.403,0.217,2.32976910614106e-06
"Ezr",9.31267445694118e-11,0.545983808881673,0.268,0.127,2.34018196428475e-06
"Gcnt2",9.39183856964842e-11,0.845650029230649,0.209,0.092,2.36007511416695e-06
"Dera",9.43432107002206e-11,0.987275927297831,0.159,0.058,2.37075054168584e-06
"Psmd13",9.65522596200363e-11,0.582923603561277,0.375,0.197,2.42626173199189e-06
"Slc7a8",9.7880366193078e-11,0.601631641927824,0.313,0.154,2.45963572206586e-06
"Rpl3",9.79167358958688e-11,-0.24020036143453,0.95,0.991,2.46054965632729e-06
"Csk",9.79177948498541e-11,0.479124923301827,0.407,0.218,2.46057626678198e-06
"Amdhd2",9.84872539369350e-11,0.764922245584385,0.26,0.122,2.47488620418124e-06
"Scpep1",9.93510462239811e-11,0.637442352663688,0.393,0.213,2.49659244056242e-06
"Slc39a1",1.01518786541273e-10,0.762202257282471,0.243,0.109,2.55106558699565e-06
"Lgals1",1.08011913482852e-10,0.488627975708678,0.638,0.448,2.71423137391059e-06
"Cd164",1.08032139330343e-10,0.627845667020396,0.362,0.195,2.71473962923218e-06
"Mif4gd",1.13410194467503e-10,0.7161624544996,0.225,0.098,2.84988477677387e-06
"Pla2g7",1.14229407981451e-10,0.866415802789287,0.603,0.456,2.87047079316587e-06
"Lrrk1",1.15942948010575e-10,0.85138080478823,0.193,0.079,2.91353034055774e-06
"Serpine2",1.17655293887869e-10,-2.27149568774378,0.073,0.174,2.95655988010825e-06
"Tle4",1.25376963048611e-10,0.465271617574913,0.309,0.15,3.15059770444855e-06
"Elk3",1.2566786432418e-10,0.642973747589305,0.231,0.102,3.15790776260233e-06
"Arl4c",1.26625673212771e-10,0.516027334034825,0.521,0.322,3.18197654216372e-06
"St6galnac4",1.32748456692202e-10,0.795880801279655,0.23,0.102,3.33583596821835e-06
"Trip12",1.33039192227123e-10,0.417303038094402,0.364,0.189,3.34314186147537e-06
"Csrnp1",1.45184525229573e-10,0.631962302485724,0.466,0.281,3.64834193449393e-06
"4930523C07Rik",1.4529049580362e-10,0.943435796855146,0.164,0.063,3.65100486904916e-06
"Nsg1",1.51183043711855e-10,-2.16589884975444,0.112,0.225,3.79907870543521e-06
"Mob1a",1.51628103426135e-10,0.48561454046691,0.499,0.286,3.81026261099534e-06
"Snx10",1.53155091515157e-10,0.488171079127636,0.376,0.2,3.84863429468438e-06
"Lpp",1.65785123320662e-10,0.964916861765848,0.183,0.075,4.16601436392492e-06
"Gfy",1.68375337326256e-10,-1.99933993945249,0.108,0.219,4.23110385167148e-06
"Fosl2",1.68553956530375e-10,0.457395235574452,0.513,0.304,4.2355923736518e-06
"Cbfb",1.70573234820428e-10,0.767931364458959,0.189,0.077,4.28633481780254e-06
"Sh3bp1",1.72934746910658e-10,0.718885926544646,0.262,0.122,4.34567725511792e-06
"Clec4a1",1.73079238774298e-10,0.780542716174955,0.315,0.169,4.34930819115933e-06
"Ost4",1.74013486126196e-10,-0.756179376254274,0.48,0.506,4.37278489286517e-06
"Selplg",1.77034436942004e-10,0.626064798841456,0.422,0.238,4.44869836591563e-06
"Cyb5a",1.78796034241821e-10,-0.776336569299102,0.397,0.465,4.49296554446272e-06
"Vipas39",1.8464502148643e-10,1.04163092387233,0.15,0.054,4.63994474493249e-06
"Cd72",1.86626972973375e-10,0.75071606879551,0.393,0.239,4.68974920384795e-06
"Ripk1",1.91125256862199e-10,0.606919646143528,0.32,0.163,4.80278657969019e-06
"Bax",1.92480216682331e-10,0.312479171480779,0.567,0.322,4.8368353650103e-06
"Capzb",1.93729325713097e-10,0.310239083464293,0.825,0.568,4.86822422584441e-06
"Grn",1.95089434448302e-10,0.567453899994429,0.774,0.633,4.90240239825139e-06
"Rps24",1.95199133763041e-10,-0.232829605273928,0.997,0.999,4.90515903233145e-06
"AI504432",1.95234939467473e-10,0.625558300586324,0.273,0.133,4.90605879387812e-06
"Hnrnpd",1.98208026385478e-10,0.397743870206579,0.581,0.354,4.98076949504067e-06
"Psmb7",2.01778952252443e-10,0.44064934709682,0.427,0.232,5.07050329115164e-06
"Arpc4",2.04579391109943e-10,0.384770730869454,0.704,0.428,5.14087551920176e-06
"Bin2",2.06711381633674e-10,0.56281208164953,0.375,0.203,5.1944503090726e-06
"Rabgef1",2.11299405400517e-10,0.896073015301637,0.2,0.085,5.30974275830959e-06
"Psmd4",2.12100577308086e-10,0.327052809298442,0.509,0.281,5.32987540717488e-06
"U2af1",2.15352855603942e-10,0.447694280122854,0.397,0.21,5.41160190847146e-06
"Trpv2",2.19342901340672e-10,1.09022281320058,0.17,0.066,5.51186776778975e-06
"Csnk1d",2.22218473954081e-10,0.782613881879241,0.234,0.107,5.5841280319921e-06
"Zfand3",2.26379603572408e-10,0.633495105165736,0.249,0.115,5.68869305817104e-06
"Rps14",2.32263425943011e-10,-0.229669886497799,0.996,1,5.83654763052191e-06
"Pcna",2.34357021869541e-10,0.470457966485735,0.367,0.193,5.88915760255969e-06
"Nme2",2.4217155378211e-10,0.378578415744051,0.804,0.631,6.08552897499064e-06
"Pfdn1",2.48579579435124e-10,0.421336492933186,0.345,0.174,6.24655625162524e-06
"Psen1",2.68159461888864e-10,0.770629513779104,0.188,0.077,6.73857911780526e-06
"Rsrc2",2.71429659921528e-10,0.303035306173399,0.508,0.289,6.82075592416808e-06
"G3bp2",2.78030615081581e-10,0.354193553775354,0.521,0.299,6.98663132638506e-06
"Ankfy1",2.82874525872063e-10,0.638041830207977,0.243,0.112,7.10835396063908e-06
"Tmem128",2.92576296983718e-10,0.543880530652693,0.326,0.167,7.35214976690385e-06
"Aamp",2.93406579504609e-10,0.516529285956647,0.386,0.205,7.37301393637131e-06
"Tmem189",2.94483687627375e-10,0.621504130210608,0.279,0.136,7.40008058638832e-06
"Mef2c",3.01748530565208e-10,-0.619773803195281,0.411,0.515,7.58263882457312e-06
"Lims1",3.03504765010384e-10,0.361646108468259,0.371,0.193,7.62677123994593e-06
"Fam111a",3.14176677010293e-10,0.635340916578116,0.313,0.163,7.89494571659165e-06
"Rps28",3.2188472236702e-10,-0.239119118337851,0.979,0.987,8.08864118836084e-06
"Chpt1",3.22276941708429e-10,1.27224432276582,0.168,0.067,8.09849726819111e-06
"Esyt1",3.25080566616686e-10,0.647009445357438,0.258,0.122,8.16894955851069e-06
"Ralgds",3.31088572857404e-10,1.11457483174224,0.17,0.067,8.3199247473337e-06
"Tnfaip2",3.49616626645347e-10,0.577006577821146,0.46,0.283,8.78551621097093e-06
"Utp3",3.52097473438821e-10,0.404474665319223,0.341,0.172,8.84785741004413e-06
"Ccz1",3.56083154876561e-10,0.582202893659354,0.266,0.127,8.94801359889311e-06
"Rpl31",3.57313341355961e-10,-0.347680968537093,0.876,0.894,8.97892695493393e-06
"Plcg2",3.75260051728006e-10,0.558212878491249,0.232,0.104,9.42990983987307e-06
"Zfp36l1",3.75632742415408e-10,-0.508349528642683,0.645,0.685,9.4392751841568e-06
"Gba",3.8240262531154e-10,0.914267240780475,0.193,0.082,9.60939557145369e-06
"Rab7",3.96049901884201e-10,0.510662948239651,0.572,0.356,9.95233798444809e-06
"Tubb4b",3.9992749563241e-10,-0.942123709078615,0.257,0.395,1.00497780377468e-05
"Arcn1",4.06271138463636e-10,0.53181944298673,0.303,0.152,1.02091874384527e-05
