"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Luzp1",0.455606277552856,-0.304660144977206,0.162,0.135,1
"Akirin2",0.455844586443468,-0.39328547054018,0.251,0.205,1
"Pdcd2l",0.456233267373845,-0.289823267326828,0.168,0.139,1
"Slc12a6",0.456625626290467,-0.357748589954338,0.167,0.141,1
"Vcam1",0.457082133732347,-0.466438560536471,0.151,0.161,1
"Ramp1",0.457269518677375,-0.257159067198,0.309,0.258,1
"5430427O19Rik",0.459960892239778,-0.232083426383355,0.184,0.155,1
"Hook3",0.460307627986442,-0.327744844894991,0.265,0.218,1
"Thoc2",0.460979784837894,-0.359172865666074,0.294,0.235,1
"Pum1",0.461752992218784,-0.251513105036388,0.198,0.164,1
"Serinc1",0.462114879397613,-0.222123329146888,0.424,0.332,1
"Pebp1",0.462124753493327,-0.395386320248375,0.379,0.327,1
"Ccnd1",0.464883452315509,-0.254024225752938,0.277,0.233,1
"Cct2",0.465495839039888,-0.243731320963204,0.437,0.339,1
"Swi5",0.467703600981833,-0.217045713043436,0.477,0.36,1
"Pkib",0.468284956472999,-0.568880156866142,0.249,0.23,1
"Tm6sf1",0.470453286981836,-0.373614249068425,0.375,0.328,1
"Higd2a",0.470596048251355,-0.215726375818163,0.362,0.293,1
"Gtf2a2",0.471817262202155,-0.341466061232726,0.264,0.213,1
"Tspan31",0.476290813270777,-0.201695064830036,0.226,0.188,1
"Cebpa",0.477365235932633,-0.203471611001041,0.319,0.264,1
"Fam3c",0.478359856839016,-0.350543920382697,0.244,0.228,1
"Abhd17a",0.480557277320787,-0.371479696588454,0.252,0.207,1
"Grsf1",0.481146128567443,-0.261578814087426,0.15,0.127,1
"Maco1",0.481895988551802,-0.439092546481099,0.155,0.155,1
"Ang",0.484446906530537,-0.456139009758206,0.218,0.208,1
"Tmx3",0.484785048959122,-0.485447322427822,0.174,0.171,1
"Rab6a",0.485666976465765,-0.322921224974639,0.235,0.196,1
"Slc25a39",0.48591909791656,-0.527617162199025,0.158,0.155,1
"Wasf2",0.487226193830266,-0.321445985937188,0.51,0.418,1
"Rnaseh2c",0.488003998482116,-0.244378072635033,0.244,0.203,1
"Tbca",0.488452948474929,-0.208391583124129,0.548,0.447,1
"Snhg8",0.489627927216159,-0.409927086065334,0.257,0.237,1
"Dpm3",0.490390990785992,-0.410788293378433,0.27,0.217,1
"Plin3",0.493256209052254,-0.263116859875563,0.161,0.135,1
"Wls",0.495963029575239,-0.567379921132389,0.185,0.178,1
"Rad50",0.497703548573385,-0.414535453845638,0.191,0.159,1
"Pts",0.498007036817657,-0.296893954800463,0.195,0.191,1
"Rap2a",0.499231990267689,-0.255312750909003,0.274,0.228,1
"Glrx3",0.499529008122715,-0.439595337445175,0.272,0.246,1
"Dleu2",0.500162644963173,-0.22342235737089,0.381,0.311,1
"Dhx36",0.503510553423317,-0.532436055446575,0.222,0.207,1
"Baz2b",0.505152783001961,-0.290350431044373,0.274,0.226,1
"Timm8b",0.505155688306399,-0.271651547151755,0.309,0.254,1
"Polr2j",0.507490333446675,-0.323955015003126,0.303,0.242,1
"Idh3b",0.508168858013757,-0.435746779025931,0.204,0.169,1
"Ralbp1",0.508826779035925,-0.299243564384014,0.358,0.318,1
"Pitpnb",0.509008590912392,-0.287060446329803,0.185,0.155,1
"Rock2",0.509544827726212,-0.330039506223845,0.339,0.303,1
"Atp2c1",0.519359371605966,-0.201704853688637,0.162,0.14,1
"Dnajb1",0.522436953172347,-0.391702126223793,0.282,0.233,1
"Dctn1",0.523306799036627,-0.256831229519714,0.189,0.162,1
"Micos13",0.525451261981673,-0.234665522925948,0.46,0.355,1
"Pttg1ip",0.527382023352789,-0.223486409250532,0.2,0.17,1
"Jmjd1c",0.530767419758766,-0.425793082991935,0.441,0.377,1
"Sft2d1",0.530955179701334,-0.249653890221621,0.289,0.233,1
"Rabep1",0.531871934138401,-0.350147241560569,0.26,0.215,1
"Ptges3",0.53336509902268,-0.378622713808376,0.419,0.349,1
"Rock1",0.534154376163362,-0.220268500370785,0.577,0.445,1
"Ndufb6",0.534284204142859,-0.253913289889291,0.337,0.273,1
"Nfic",0.53672117868699,-0.430255050521104,0.283,0.259,1
"Tcf25",0.542274227703485,-0.289741154985878,0.54,0.442,1
"Mindy2",0.542644975468656,-0.45938270354739,0.23,0.213,1
"Cpd",0.543608229067907,-0.379819168543778,0.221,0.185,1
"Strn3",0.544618466359961,-0.314110751946871,0.204,0.172,1
"Igbp1",0.546648605452172,-0.322448738241351,0.236,0.196,1
"Ndufb5",0.551610703740592,-0.200191064766902,0.54,0.41,1
"Csnk2a1",0.551870964612188,-0.414657981178378,0.317,0.28,1
"Slc8a1",0.55444076069326,-0.676043545733028,0.164,0.157,1
"Usp34",0.558123692439022,-0.298188290367424,0.253,0.213,1
"Tnfaip8",0.559400403441198,-0.210737911615419,0.499,0.399,1
"Stub1",0.560396566337026,-0.553421651471327,0.231,0.211,1
"Cops9",0.560831124981542,-0.281683650304631,0.411,0.358,1
"Golgb1",0.565140912559942,-0.432843841902292,0.262,0.215,1
"Prdx2",0.565619425960454,-0.202264777449152,0.465,0.393,1
"Acadm",0.569045788408987,-0.295650200585296,0.172,0.148,1
"1700017B05Rik",0.570545930727874,-0.412697643773672,0.153,0.15,1
"Reep3",0.575029235482346,-0.375882914001679,0.313,0.254,1
"Clip1",0.577976228603487,-0.421154153056244,0.208,0.173,1
"Dyrk2",0.58056080136038,-0.234138160393912,0.17,0.146,1
"Snx6",0.580745050416582,-0.327751427512913,0.491,0.38,1
"Hebp1",0.581392870198967,-0.246480696540749,0.15,0.149,1
"Ube3a",0.586097544385238,-0.282569034901854,0.317,0.257,1
"Fyttd1",0.586871744432642,-0.351425977312767,0.153,0.132,1
"Chka",0.589190920198346,-0.398274028336456,0.153,0.133,1
"Galc",0.589715375131156,-0.375413977620066,0.17,0.144,1
"Mat2b",0.596028537809878,-0.612529030409456,0.213,0.197,1
"Lyl1",0.598811174865147,-0.254077334834525,0.157,0.135,1
"Sltm",0.604568424089297,-0.354472450472391,0.283,0.232,1
"Snrpf",0.604860578456011,-0.253758086141994,0.514,0.419,1
"Washc2",0.60722482735698,-0.332344595158514,0.269,0.225,1
"Acbd3",0.608593202613742,-0.366253928430303,0.255,0.209,1
"Lamtor2",0.609576145484379,-0.303087839730943,0.463,0.376,1
"Rnf7",0.611572761743612,-0.23607983457398,0.362,0.312,1
"Ywhah",0.613604577855042,-0.267468695582378,0.522,0.429,1
