"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Dazap2",0,0.908032950357245,0.462,0.387,0,"Dazap2"
"Serf2",0,0.678589003010763,0.982,0.911,0,"Serf2"
"Ptbp3",0,0.724148125533328,0.559,0.493,0,"Ptbp3"
"Ube2d3",0,0.739266094669639,0.708,0.645,0,"Ube2d3"
"Srsf5",0,0.741621422367514,0.704,0.648,0,"Srsf5"
"Ppp1r15a",0,0.940416099840691,0.372,0.427,0,"Ppp1r15a"
"Gpi1",0,0.612158156077832,0.51,0.456,0,"Gpi1"
"Sri",0,0.828958507605238,0.421,0.368,0,"Sri"
"Supt4a",0,0.759550396728042,0.435,0.392,0,"Supt4a"
"Map1lc3b",0,0.755033710585621,0.78,0.738,0,"Map1lc3b"
"Myl6",0,0.53332249277505,0.992,0.951,0,"Myl6"
"Pnrc1",0,0.769937454748758,0.759,0.72,0,"Pnrc1"
"Ube2b",0,0.653328823574353,0.594,0.558,0,"Ube2b"
"Actg1",0,1.13843942789538,0.998,0.963,0,"Actg1"
"Ncor1",0,0.619682181822929,0.66,0.629,0,"Ncor1"
"Eif5",0,0.712449117866714,0.539,0.509,0,"Eif5"
"Tmem14c",0,0.785436192969881,0.334,0.361,0,"Tmem14c"
"Nfe2l2",0,0.764487486778646,0.549,0.523,0,"Nfe2l2"
"Chmp4b",0,0.541802650971047,0.431,0.455,0,"Chmp4b"
"H3f3a",0,0.501772029944342,0.999,0.986,0,"H3f3a"
"Ddx3x",0,0.659341227030163,0.456,0.447,0,"Ddx3x"
"Tmsb4x",0,1.16346903618028,1,0.995,0,"Tmsb4x"
"Actb",0,1.21385607536888,1,0.996,0,"Actb"
"Ddx6",0,0.687143231370811,0.473,0.475,0,"Ddx6"
"Sf3b1",0,0.53133909874564,0.672,0.672,0,"Sf3b1"
"Fth1",0,0.973140408977686,0.998,0.998,0,"Fth1"
"Mdh2",7.59872963303837e-321,0.524737158359425,0.466,0.488,1.90948476948621e-316,"Mdh2"
"Ppp1r2",1.5367319035117e-318,0.782951759455225,0.412,0.359,3.86165360033454e-314,"Ppp1r2"
"Sh3glb1",4.99575628965331e-316,0.715844905384162,0.567,0.487,1.25538359802698e-311,"Sh3glb1"
"Atp6v1g1",1.4919192480948e-300,0.552505043353491,0.772,0.722,3.74904387853743e-296,"Atp6v1g1"
"Adipor1",4.93562852221606e-300,0.804629723781501,0.623,0.469,1.24027409134767e-295,"Adipor1"
"Tra2a",2.79841008047336e-297,0.586956486854609,0.437,0.436,7.03212469122151e-293,"Tra2a"
"Stk4",1.77911389414784e-295,1.09124480054549,0.367,0.232,4.47073530460411e-291,"Stk4"
"Vamp8",1.67796971561408e-293,0.832525076989853,0.559,0.415,4.21657009836662e-289,"Vamp8"
"Rac1",3.39971668844973e-288,0.735650874788604,0.499,0.423,8.54314806640533e-284,"Rac1"
"Jak1",4.70911899111774e-284,0.759120931264178,0.493,0.408,1.18335451127798e-279,"Jak1"
"Retreg1",9.9249445950788e-275,0.952459619035541,0.353,0.267,2.49403932729735e-270,"Retreg1"
"Ssu72",1.16455007146735e-271,0.576116719567561,0.441,0.428,2.9263978745903e-267,"Ssu72"
"Stk38",1.46838703950589e-269,0.824312022163863,0.386,0.31,3.68990979157436e-265,"Stk38"
"Klf2",2.61688870648539e-268,0.797999649881536,0.562,0.358,6.57597963052713e-264,"Klf2"
"Pbx1",5.95535313902213e-256,1.00055960303195,0.358,0.25,1.49652069030487e-251,"Pbx1"
