"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Fzd8",4.98669770016331e-36,4.60970358025,0.443,0.021,1.25310726507404e-31,"19","Fzd8"
"Rac3",8.89573346979278e-36,3.51580028748825,0.582,0.068,2.23540886362423e-31,"19","Rac3"
"Pgk12",2.06523606925414e-35,2.41096906888544,0.797,0.272,5.18973171842872e-31,"19","Pgk1"
"Dbi7",2.18172744945543e-35,2.08076499122718,0.861,0.4,5.48246290773656e-31,"19","Dbi"
"Akr1a14",2.32935293782584e-35,1.76493259946707,0.899,0.569,5.85343099746254e-31,"19","Akr1a1"
"Sox211",8.5011529730415e-35,4.39472195669813,0.456,0.027,2.1362547305956e-30,"19","Sox21"
"Pax62",8.72835978295811e-35,3.58431644482708,0.57,0.055,2.19334952985954e-30,"19","Pax6"
"Muc41",3.43440081154399e-34,3.65663100991697,0.405,0.019,8.63030579932889e-30,"19","Muc4"
"Prelid2",4.5261450401171e-34,4.3043217369023,0.456,0.026,1.13737498713103e-29,"19","Prelid2"
"Gng112",4.61093030093012e-34,1.58425609506103,0.506,0.071,1.15868067532073e-29,"19","Gng11"
"Etl41",5.01917915606732e-34,3.19517404968299,0.62,0.092,1.26126953012816e-29,"19","Etl4"
"Socs22",1.06776814054414e-33,2.73912920567055,0.747,0.156,2.68319456037338e-29,"19","Socs2"
"Serping12",1.2061559124844e-33,1.55841671196552,0.481,0.059,3.03094919248206e-29,"19","Serping1"
"Bace21",1.84001046087937e-33,4.04609551730355,0.481,0.033,4.62376228714378e-29,"19","Bace2"
"Appl2",3.07636361638714e-33,3.84934470546109,0.506,0.044,7.73059413161924e-29,"19","Appl2"
"Lgi2",1.10480796824014e-32,3.63287078730433,0.494,0.037,2.77627194339066e-28,"19","Lgi2"
"Gstm14",2.29967453870018e-32,1.57219414239788,0.886,0.255,5.77885214829968e-28,"19","Gstm1"
"Bag2",4.47272878986488e-32,4.27904968126423,0.392,0.029,1.12395201760515e-27,"19","Bag2"
"Lmo1",7.3621832218818e-32,3.51312552246578,0.532,0.05,1.85004302182668e-27,"19","Lmo1"
"Ckb1",8.10710489833867e-32,1.57729791290786,0.911,0.586,2.03723438990353e-27,"19","Ckb"
"Atp6v1c22",1.51829621985498e-31,2.47435879493378,0.481,0.051,3.81532657087359e-27,"19","Atp6v1c2"
"Ldha3",2.49057265648941e-31,1.8101332492254,0.899,0.397,6.25856002849224e-27,"19","Ldha"
"Scd25",5.06839431386398e-31,2.1937743366014,0.785,0.176,1.27363680713088e-26,"19","Scd2"
"Mgst15",5.12451541955002e-31,1.62524660726243,0.848,0.242,1.28773947977872e-26,"19","Mgst1"
"Aldoa1",6.82127852793878e-31,1.29392918155427,0.924,0.769,1.71411908128574e-26,"19","Aldoa"
"Gabarapl14",1.39657188817779e-30,2.35764186698076,0.759,0.219,3.50944549780198e-26,"19","Gabarapl1"
"Ndrg13",3.95225337492155e-30,3.09924359313472,0.608,0.096,9.93161750584035e-26,"19","Ndrg1"
"Creg14",5.26357457902405e-30,2.25928630593899,0.785,0.266,1.32268365596295e-25,"19","Creg1"
"Gsta34",5.93865474715473e-30,0.774352569527371,0.595,0.148,1.49232455141251e-25,"19","Gsta3"
"Ccl25",1.1526719771846e-29,3.60491809874338,0.443,0.054,2.89654941146719e-25,"19","Ccl25"
"Sqle1",2.80511151204633e-29,3.07826308494322,0.582,0.086,7.04896471862123e-25,"19","Sqle"
"Wls6",3.68376045083439e-29,2.14602950660018,0.835,0.244,9.25692163690173e-25,"19","Wls"
