"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Pdlim1",4.41850987583056e-09,0.791503730058781,0.175,0.075,0.000111032734669746,"Pdlim1"
"Sdf4",4.46808395846235e-09,0.281075600273674,0.541,0.313,0.0001122784817922,"Sdf4"
"Pum1",4.54338369854118e-09,0.25636404184812,0.284,0.141,0.000114170688960641,"Pum1"
"Tpm1",4.59094516441637e-09,0.65661238275602,0.15,0.058,0.000115365861036619,"Tpm1"
"Oga",4.68674071485647e-09,0.289242431050127,0.271,0.133,0.000117773107423628,"Oga"
"Selenoh",4.73268342160827e-09,0.274513503482026,0.264,0.13,0.000118927601701594,"Selenoh"
"Klra9",4.7415596306981e-09,0.646010471568585,0.219,0.11,0.000119150651959812,"Klra9"
"C1galt1",4.76304765911243e-09,0.3975016112232,0.206,0.093,0.000119690624625836,"C1galt1"
"Pcsk7",4.77803873893707e-09,0.622180692279861,0.177,0.075,0.00012006733547075,"Pcsk7"
"Tmem33",4.78882592430209e-09,0.577386191323133,0.166,0.068,0.000120338406651787,"Tmem33"
"Kxd1",4.85683071176092e-09,0.412653807456074,0.266,0.132,0.00012204729895584,"Kxd1"
"Emc3",4.85999191331056e-09,0.339780505840826,0.227,0.106,0.000122126736789581,"Emc3"
"Lpp",4.91874615433003e-09,0.437560187450244,0.205,0.091,0.000123603172112159,"Lpp"
"B3gat3",4.92351837455001e-09,0.477374132979394,0.207,0.094,0.000123723093234067,"B3gat3"
"Atxn7l3",5.02161556189471e-09,0.635576662893851,0.15,0.058,0.000126188177454852,"Atxn7l3"
"Rc3h2",5.05513199482262e-09,0.395748471671411,0.175,0.073,0.000127030411897898,"Rc3h2"
"Cr1l",5.09356338780704e-09,0.266733560223193,0.366,0.195,0.000127996154372203,"Cr1l"
"Srsf10",5.11202957526096e-09,0.25812529155406,0.311,0.162,0.000128460191196733,"Srsf10"
"Gabarapl2",5.28608263594818e-09,-0.557604036781068,0.641,0.634,0.000132833970558742,"Gabarapl2"
"Zfp106",5.45031657336829e-09,0.265657545901448,0.249,0.121,0.000136961005172172,"Zfp106"
"Upf2",5.47696640556876e-09,0.417577773678991,0.198,0.088,0.000137630688805537,"Upf2"
"Ptbp1",5.53350450757655e-09,0.249266686852071,0.324,0.167,0.000139051434770891,"Ptbp1"
"Ilf2",5.53966907341127e-09,0.345597049801184,0.22,0.103,0.000139206344145752,"Ilf2"
"Lamb3",5.55164139108874e-09,0.439095421869027,0.189,0.083,0.000139507196516669,"Lamb3"
"Eif1a",5.6784935761933e-09,0.482039095898398,0.219,0.104,0.000142694865076161,"Eif1a"
"Scd2",5.72148290870283e-09,0.588532970807713,0.175,0.074,0.000143775144012793,"Scd2"
"Cyb5b",5.73621495949418e-09,0.324809457383993,0.183,0.078,0.000144145345717129,"Cyb5b"
"Tgif1",6.06485548559738e-09,0.225986356258052,0.303,0.155,0.000152403753497577,"Tgif1"
"Gas7",6.20812151473892e-09,0.580056633797506,0.168,0.07,0.000156003885543874,"Gas7"
"Zzef1",6.21524160261132e-09,0.444004796919089,0.199,0.088,0.00015618280623202,"Zzef1"
"Lyst",6.216454769856e-09,0.259015699351061,0.26,0.13,0.000156213291911711,"Lyst"
"Ube2s",6.41435042142156e-09,-0.416953582544905,0.655,0.69,0.000161186211739902,"Ube2s"
